,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25,25.5,26,26.5,27,27.5,28,28.5,29,29.5,30
2005/2/1,0.0374,0.0687,0.1226,0.1987,0.2835,0.3731,0.4634,0.5562,0.6495,0.7474,0.8462,0.9467,1.0436,1.1384,1.2274,1.3121,1.3926,1.4678,1.5346,1.5933,1.6412,1.6811,1.7137,1.7421,1.7662,1.7892,1.811,1.8333,1.857,1.8833,1.9117,1.943,1.9763,2.0131,2.052,2.0946,2.1381,2.1828,2.2277,2.2723,2.3152,2.3569,2.3954,2.4311,2.4623,2.4895,2.5102,2.5252,2.5331,2.5352,2.5342,2.5328,2.5338,2.5399,2.5532,2.5769,2.613,2.6664,2.7365
2005/3/1,0.021,0.0492,0.0928,0.1513,0.2194,0.2942,0.3718,0.4525,0.5354,0.62,0.706,0.7946,0.8858,0.9795,1.0723,1.16,1.2384,1.3089,1.3699,1.4232,1.4687,1.5079,1.5418,1.5724,1.6004,1.6272,1.6533,1.6802,1.7085,1.7381,1.7697,1.8032,1.8387,1.8764,1.9158,1.9574,2.0002,2.0435,2.0865,2.1296,2.1706,2.2097,2.2464,2.28,2.3101,2.3356,2.356,2.371,2.3798,2.3836,2.3847,2.3854,2.3879,2.394,2.406,2.4263,2.4567,2.4999,2.5579
2005/4/1,0.0111,0.0241,0.0554,0.1039,0.1637,0.2317,0.3043,0.3823,0.4613,0.5437,0.6236,0.7083,0.7952,0.8875,0.982,1.0728,1.1534,1.225,1.2867,1.3417,1.3892,1.4312,1.4678,1.5011,1.5319,1.5614,1.59,1.619,1.6484,1.6794,1.7116,1.7463,1.7813,1.8191,1.8579,1.8984,1.9402,1.9825,2.0243,2.0662,2.1064,2.1456,2.1821,2.217,2.2479,2.275,2.2978,2.316,2.3288,2.3367,2.3416,2.3458,2.351,2.3594,2.3724,2.3929,2.4221,2.4623,2.5159
2005/5/1,0.0161,0.0352,0.0693,0.1177,0.1761,0.2423,0.3144,0.3914,0.4699,0.549,0.6274,0.7082,0.7943,0.8852,0.9802,1.0734,1.1599,1.2389,1.3089,1.3705,1.4228,1.4662,1.5027,1.5349,1.5634,1.5901,1.6163,1.6431,1.6717,1.7027,1.7366,1.7734,1.8121,1.8526,1.894,1.9369,1.9793,2.0213,2.0627,2.1032,2.1421,2.1792,2.2139,2.2462,2.2753,2.301,2.3224,2.3393,2.3515,2.3598,2.3661,2.3726,2.3811,2.3934,2.4115,2.4374,2.4731,2.5216,2.5837
2005/6/1,0.0091,0.0197,0.0452,0.0861,0.1383,0.1998,0.2672,0.34,0.4151,0.4907,0.5635,0.6381,0.7166,0.803,0.8946,0.9882,1.0712,1.1466,1.2108,1.2667,1.3153,1.357,1.3923,1.4239,1.4524,1.4801,1.5071,1.536,1.5664,1.5994,1.6361,1.6764,1.7188,1.7636,1.8083,1.854,1.8988,1.9435,1.9854,2.0271,2.0664,2.1036,2.1382,2.1703,2.1994,2.225,2.2466,2.2643,2.2775,2.2875,2.2954,2.3038,2.3137,2.3268,2.3448,2.3698,2.4027,2.4466,2.5016
2005/7/1,0.0072,0.0406,0.0882,0.1521,0.2246,0.3017,0.3817,0.4634,0.5441,0.6252,0.703,0.7825,0.8642,0.952,1.0403,1.1306,1.2142,1.2903,1.3583,1.4194,1.473,1.5193,1.5576,1.5906,1.619,1.6458,1.6705,1.6964,1.7236,1.7534,1.7863,1.8233,1.8627,1.9056,1.9497,1.9965,2.0444,2.0936,2.1421,2.1898,2.2363,2.2812,2.3227,2.3618,2.3966,2.4269,2.4513,2.4702,2.4819,2.488,2.4906,2.4925,2.4961,2.5036,2.5174,2.5405,2.5746,2.6236,2.6886
2005/8/1,0.0334,0.0776,0.1317,0.1935,0.263,0.3376,0.4192,0.5037,0.5907,0.6754,0.7589,0.8415,0.9279,1.0163,1.1065,1.1933,1.2725,1.3413,1.4022,1.4552,1.5022,1.5424,1.5783,1.6091,1.6383,1.6656,1.6923,1.7197,1.7489,1.7795,1.8134,1.8496,1.8889,1.9297,1.973,2.0167,2.0614,2.1062,2.1509,2.1943,2.237,2.2772,2.3152,2.3499,2.3818,2.4082,2.4306,2.4472,2.4582,2.4645,2.4685,2.4725,2.4786,2.4888,2.5055,2.5305,2.5673,2.6159,2.682
2005/9/1,0.0412,0.1341,0.2272,0.3207,0.416,0.5097,0.6036,0.6975,0.7898,0.8795,0.9657,1.0486,1.1289,1.2057,1.2796,1.3479,1.4101,1.4637,1.5105,1.5517,1.5883,1.6199,1.6478,1.6722,1.6946,1.7161,1.7376,1.7607,1.7855,1.8128,1.8437,1.8786,1.9171,1.9581,2.0008,2.0446,2.0889,2.1324,2.176,2.2176,2.2575,2.2954,2.3306,2.363,2.392,2.4167,2.4369,2.4521,2.4621,2.468,2.472,2.4764,2.4833,2.4946,2.5126,2.5393,2.5772,2.6285,2.6959
2005/10/1,0.0948,0.1828,0.2772,0.3759,0.4795,0.58,0.6766,0.7731,0.8649,0.9559,1.0465,1.1339,1.2184,1.2956,1.3691,1.4335,1.4953,1.5511,1.601,1.6469,1.6889,1.7254,1.7578,1.7854,1.8101,1.8321,1.8534,1.8739,1.8945,1.9163,1.9392,1.9644,1.9922,2.0217,2.0533,2.0863,2.1218,2.1564,2.1928,2.2286,2.2633,2.2979,2.3298,2.3602,2.3886,2.4133,2.4349,2.4522,2.4655,2.4739,2.4802,2.4861,2.4935,2.5044,2.5212,2.5454,2.5799,2.6259,2.6871
2005/11/1,0.0734,0.138,0.2163,0.3074,0.4049,0.5016,0.5963,0.6872,0.7757,0.8618,0.9459,1.0292,1.1096,1.1874,1.262,1.331,1.3929,1.4468,1.4942,1.5366,1.5751,1.6097,1.6422,1.6722,1.7007,1.7282,1.7547,1.781,1.8072,1.833,1.8593,1.8859,1.9137,1.9433,1.9758,2.011,2.0498,2.0909,2.1342,2.1781,2.2225,2.2661,2.3083,2.3484,2.386,2.419,2.4473,2.4702,2.487,2.4977,2.5043,2.5091,2.5138,2.5203,2.5308,2.5472,2.5719,2.6063,2.6527
2005/12/1,0.0918,0.1875,0.2857,0.3833,0.4805,0.5763,0.6717,0.7649,0.8585,0.9478,1.0355,1.119,1.1984,1.2673,1.3313,1.3874,1.4373,1.4809,1.5197,1.5548,1.5871,1.616,1.6434,1.6689,1.6942,1.7177,1.7419,1.7663,1.7913,1.8168,1.8439,1.8719,1.9017,1.9319,1.9632,1.9954,2.0286,2.0614,2.094,2.1265,2.1587,2.1895,2.2197,2.2486,2.2763,2.3016,2.3255,2.3462,2.3651,2.3813,2.3958,2.4097,2.4234,2.4371,2.4521,2.4686,2.4877,2.5093,2.5351
2006/1/1,0.1008,0.1975,0.302,0.4086,0.5162,0.6223,0.7266,0.8271,0.9266,1.0219,1.116,1.2043,1.287,1.3572,1.4201,1.4751,1.5255,1.5727,1.6168,1.6577,1.6955,1.729,1.7594,1.7856,1.8095,1.8304,1.8507,1.8703,1.8902,1.9105,1.9324,1.9558,1.9814,2.0084,2.0372,2.0672,2.0987,2.1304,2.1625,2.1947,2.2269,2.2583,2.2893,2.319,2.3476,2.3738,2.3987,2.4203,2.4399,2.4565,2.4708,2.4837,2.496,2.508,2.5208,2.5347,2.551,2.5697,2.5926
2006/2/1,0.1823,0.3414,0.4857,0.6191,0.7389,0.848,0.9429,1.0294,1.1093,1.1884,1.2661,1.3414,1.4073,1.4617,1.5053,1.5427,1.5768,1.611,1.6439,1.6762,1.7063,1.7348,1.76,1.7834,1.8043,1.8236,1.8419,1.8598,1.8771,1.8946,1.9122,1.9308,1.9498,1.9698,1.99,2.0108,2.032,2.0535,2.0749,2.0966,2.1178,2.1391,2.1598,2.1805,2.1999,2.219,2.2368,2.2537,2.2695,2.2842,2.2978,2.3109,2.3232,2.3352,2.3468,2.3586,2.37,2.3821,2.3944
2006/3/1,0.2993,0.4945,0.6618,0.8033,0.9239,1.032,1.1306,1.2217,1.3069,1.3885,1.4661,1.5378,1.6007,1.653,1.695,1.7298,1.7583,1.7829,1.8043,1.8232,1.8405,1.857,1.8728,1.8888,1.9049,1.9215,1.9383,1.9544,1.9702,1.9856,2.0003,2.0144,2.028,2.0415,2.0553,2.0693,2.084,2.0998,2.1159,2.1325,2.1495,2.1668,2.1843,2.2016,2.2186,2.2354,2.2517,2.2676,2.2827,2.2975,2.3109,2.3231,2.3339,2.3432,2.3506,2.3561,2.3594,2.3604,2.3589
2006/4/1,0.2907,0.4806,0.6492,0.802,0.9381,1.0614,1.1788,1.285,1.3849,1.4804,1.5686,1.6504,1.7222,1.7858,1.8363,1.8809,1.9183,1.9507,1.9797,2.0057,2.0289,2.0505,2.0704,2.0895,2.1075,2.1257,2.1429,2.1589,2.1747,2.1893,2.2032,2.2165,2.2291,2.2419,2.2551,2.2695,2.2845,2.3017,2.3198,2.3384,2.3582,2.3779,2.398,2.4179,2.4372,2.4561,2.4739,2.4911,2.5062,2.5206,2.5333,2.5443,2.5542,2.5631,2.5711,2.5784,2.5851,2.5914,2.5974
2006/5/1,0.5277,0.6898,0.8172,0.9201,1.0125,1.1022,1.1911,1.278,1.3592,1.4346,1.5049,1.569,1.6293,1.6856,1.7371,1.7835,1.8242,1.8609,1.8939,1.9235,1.9503,1.9752,1.9977,2.0185,2.0378,2.056,2.0731,2.089,2.1039,2.1184,2.1324,2.1463,2.1603,2.1749,2.19,2.206,2.2233,2.2424,2.2628,2.2843,2.3062,2.3286,2.3507,2.3724,2.3927,2.4117,2.4291,2.4444,2.4574,2.4679,2.4754,2.48,2.4829,2.4852,2.4878,2.4917,2.4978,2.5071,2.5205
2006/6/1,0.5273,0.6998,0.8356,0.9457,1.0437,1.1397,1.2364,1.3323,1.4224,1.5085,1.587,1.6577,1.7184,1.7729,1.8199,1.865,1.9067,1.9461,1.9831,2.0173,2.0484,2.0776,2.1042,2.1291,2.1515,2.1728,2.1918,2.2088,2.2241,2.2383,2.2517,2.2652,2.2787,2.2934,2.3089,2.3259,2.3438,2.3641,2.3854,2.4077,2.4305,2.4537,2.4767,2.4992,2.5204,2.5407,2.559,2.5758,2.5896,2.6013,2.6099,2.6161,2.6212,2.6262,2.6321,2.6401,2.651,2.6663,2.6865
2006/7/1,0.5269,0.6834,0.8152,0.9296,1.0358,1.1382,1.2367,1.3327,1.4212,1.5049,1.5811,1.6511,1.7112,1.7669,1.8177,1.8669,1.9147,1.9606,2.0023,2.0391,2.0711,2.1002,2.1263,2.1512,2.1738,2.1965,2.2185,2.2405,2.2624,2.2842,2.3049,2.3245,2.3418,2.3574,2.3716,2.3861,2.4018,2.4198,2.4397,2.4613,2.4834,2.5067,2.53,2.5531,2.5751,2.5968,2.6162,2.6345,2.6503,2.6636,2.6741,2.6814,2.6865,2.6906,2.6946,2.6995,2.7061,2.7159,2.7294
2006/8/1,0.3751,0.5039,0.6094,0.697,0.7818,0.8663,0.9554,1.0405,1.1244,1.2019,1.2747,1.3412,1.4038,1.461,1.5158,1.567,1.616,1.6612,1.7032,1.7396,1.7724,1.8025,1.8307,1.8576,1.8841,1.9104,1.9376,1.965,1.9942,2.0227,2.0517,2.079,2.1043,2.1273,2.1486,2.1687,2.1896,2.2116,2.235,2.2588,2.2836,2.3082,2.3328,2.3568,2.3802,2.4024,2.4238,2.4433,2.4613,2.4771,2.4911,2.5022,2.5124,2.522,2.532,2.5433,2.5565,2.5726,2.5927
2006/9/1,0.3457,0.5001,0.6261,0.727,0.8176,0.9015,0.983,1.0622,1.1377,1.21,1.2783,1.3411,1.3994,1.4542,1.5087,1.5647,1.6232,1.6799,1.7334,1.7806,1.821,1.8554,1.8856,1.9128,1.9382,1.9631,1.9886,2.0145,2.0419,2.0701,2.0979,2.1246,2.1493,2.1712,2.1908,2.2095,2.2291,2.2505,2.2739,2.2984,2.3235,2.3492,2.3753,2.4006,2.4255,2.4491,2.4714,2.4919,2.5102,2.5262,2.5392,2.5495,2.5582,2.5665,2.5754,2.5859,2.599,2.6159,2.6375
2006/10/1,0.4929,0.6095,0.7124,0.8003,0.882,0.9649,1.046,1.1261,1.203,1.2737,1.3396,1.3995,1.4576,1.5106,1.5653,1.6196,1.6732,1.7263,1.7769,1.8216,1.861,1.8945,1.9245,1.9512,1.9767,2.0009,2.0247,2.0493,2.0745,2.1007,2.1271,2.1519,2.1749,2.1948,2.2122,2.2274,2.2439,2.2625,2.2833,2.3066,2.3307,2.3562,2.3827,2.4086,2.4347,2.4596,2.4842,2.506,2.5267,2.5448,2.5598,2.5716,2.5808,2.5877,2.5932,2.5976,2.6016,2.6059,2.6112
2006/11/1,0.5638,0.6903,0.7909,0.8716,0.9455,1.0173,1.0904,1.1592,1.2209,1.2739,1.3204,1.3647,1.4118,1.4623,1.5146,1.5663,1.6163,1.6643,1.7081,1.7471,1.7817,1.8129,1.8416,1.8683,1.8937,1.9185,1.9432,1.9677,1.9931,2.0182,2.0429,2.0665,2.0886,2.109,2.1278,2.1458,2.1646,2.1849,2.2068,2.2297,2.2536,2.2776,2.3018,2.3254,2.3486,2.3706,2.3915,2.4106,2.4279,2.443,2.4556,2.4652,2.4725,2.4781,2.4825,2.4863,2.49,2.4942,2.4994
2006/12/1,0.5629,0.675,0.7764,0.8675,0.9531,1.0337,1.1129,1.1863,1.255,1.3174,1.3741,1.4233,1.4709,1.5153,1.5586,1.6006,1.6419,1.6823,1.7212,1.7565,1.7893,1.8186,1.8463,1.8708,1.8943,1.9165,1.9378,1.9578,1.9775,1.9964,2.015,2.0324,2.0491,2.0651,2.0807,2.0962,2.1129,2.1311,2.1509,2.1714,2.1928,2.2148,2.2371,2.2586,2.2802,2.3003,2.32,2.3379,2.3542,2.3688,2.3815,2.3915,2.4,2.407,2.4134,2.4192,2.4252,2.4318,2.4392
2007/1/1,0.4752,0.5937,0.7002,0.796,0.8863,0.9716,1.055,1.1329,1.2062,1.272,1.3327,1.3867,1.4405,1.4926,1.5442,1.596,1.6481,1.6989,1.7477,1.7917,1.8317,1.8666,1.8986,1.9266,1.953,1.9772,2.0001,2.0216,2.0426,2.0629,2.0831,2.1028,2.1228,2.1427,2.1631,2.1832,2.2038,2.2249,2.2466,2.2683,2.2904,2.3123,2.3342,2.3553,2.3763,2.3959,2.4153,2.4334,2.4504,2.4661,2.4806,2.4932,2.5044,2.5141,2.5224,2.5293,2.5349,2.5393,2.5424
2007/2/1,0.5986,0.7248,0.816,0.8854,0.9476,1.0129,1.0817,1.151,1.2132,1.2667,1.3113,1.3546,1.4016,1.4519,1.502,1.5509,1.596,1.6388,1.6782,1.716,1.7502,1.7835,1.8142,1.8428,1.8692,1.894,1.9162,1.9364,1.954,1.9702,1.9857,2.0022,2.0198,2.0397,2.0612,2.0833,2.105,2.1261,2.146,2.1655,2.1839,2.2023,2.2195,2.2365,2.2529,2.269,2.2848,2.3004,2.3159,2.3315,2.3468,2.3619,2.3758,2.3886,2.3986,2.4061,2.41,2.41,2.4053
2007/3/1,0.5983,0.7127,0.803,0.8751,0.9389,1.0025,1.0692,1.1367,1.2009,1.2585,1.3094,1.3578,1.4063,1.4561,1.5056,1.5554,1.6029,1.6482,1.6912,1.7318,1.7692,1.8037,1.8352,1.8646,1.8919,1.9173,1.9407,1.9626,1.9832,2.0029,2.0219,2.0411,2.0603,2.0799,2.0999,2.1204,2.1409,2.1617,2.1822,2.2028,2.2232,2.2434,2.2632,2.2829,2.3021,2.3211,2.3396,2.3578,2.3757,2.3926,2.4089,2.4244,2.4386,2.4513,2.4619,2.4703,2.4759,2.4782,2.4771
2007/4/1,0.6591,0.7733,0.8578,0.9208,0.979,1.0367,1.0989,1.1631,1.2222,1.274,1.3177,1.3606,1.4034,1.4506,1.4976,1.5429,1.5864,1.6278,1.6664,1.7035,1.7382,1.7715,1.8025,1.833,1.8611,1.887,1.9121,1.9349,1.9563,1.9766,1.9956,2.0144,2.0328,2.0519,2.0704,2.0899,2.1089,2.1273,2.1458,2.1637,2.1815,2.1992,2.2164,2.2337,2.2508,2.2683,2.285,2.3027,2.3203,2.3374,2.3548,2.3725,2.3891,2.4045,2.4175,2.428,2.4348,2.4372,2.4346
2007/5/1,0.7438,0.8742,0.9741,1.0528,1.1215,1.1874,1.2507,1.3117,1.3687,1.4208,1.4682,1.5134,1.5574,1.6006,1.642,1.6819,1.7199,1.7549,1.7879,1.819,1.8482,1.8759,1.9018,1.9267,1.9505,1.973,1.9946,2.0158,2.036,2.0557,2.0749,2.0939,2.1127,2.1311,2.1489,2.1665,2.1832,2.1994,2.2148,2.2302,2.2449,2.2591,2.2732,2.2873,2.3013,2.3156,2.33,2.3448,2.3601,2.3759,2.392,2.4083,2.4242,2.4391,2.4523,2.4633,2.4712,2.4753,2.475
2007/6/1,0.7919,0.9106,1.0091,1.0968,1.1768,1.2557,1.3338,1.4118,1.4832,1.5469,1.5998,1.6483,1.6911,1.7343,1.7739,1.8132,1.8498,1.8844,1.9164,1.9477,1.9767,2.005,2.0312,2.0573,2.0815,2.1052,2.1277,2.1497,2.1708,2.1918,2.2114,2.2307,2.2485,2.2649,2.2791,2.2929,2.3058,2.3192,2.3324,2.3461,2.3598,2.374,2.388,2.4028,2.4174,2.4331,2.4484,2.4649,2.4816,2.4987,2.5162,2.5339,2.5505,2.5658,2.5781,2.5874,2.5922,2.5918,2.5855
2007/7/1,0.7849,0.8976,0.9855,1.0551,1.1188,1.186,1.2568,1.3294,1.3954,1.4518,1.4962,1.5383,1.5811,1.6274,1.6742,1.7201,1.7627,1.8025,1.8392,1.8744,1.9073,1.9396,1.9693,1.9987,2.0264,2.0525,2.0767,2.0997,2.1207,2.1405,2.1589,2.1775,2.1962,2.2158,2.2357,2.2556,2.2747,2.2926,2.3092,2.3253,2.3407,2.3555,2.3697,2.3842,2.3982,2.413,2.4278,2.4432,2.4595,2.4765,2.4943,2.5126,2.53,2.5463,2.5599,2.5706,2.5769,2.578,2.5733
2007/8/1,0.7482,0.8245,0.8802,0.9226,0.9672,1.0177,1.079,1.1409,1.1974,1.2422,1.2792,1.3154,1.3587,1.4083,1.461,1.512,1.5599,1.6027,1.6425,1.6799,1.7156,1.7497,1.7831,1.8154,1.8473,1.8775,1.9077,1.9359,1.9642,1.9913,2.0178,2.0441,2.0708,2.097,2.1235,2.1485,2.172,2.1927,2.2116,2.2285,2.2441,2.2587,2.2727,2.2864,2.3005,2.3149,2.3302,2.3467,2.3651,2.3845,2.4063,2.4283,2.4493,2.468,2.4827,2.492,2.4943,2.4882,2.4723
2007/9/1,0.7071,0.7933,0.8593,0.9088,0.959,1.0179,1.0868,1.1551,1.2142,1.257,1.2904,1.3256,1.3714,1.427,1.4866,1.5459,1.6003,1.6501,1.6962,1.7389,1.7787,1.8156,1.8499,1.8819,1.9122,1.9407,1.9687,1.9957,2.0226,2.0497,2.0768,2.1043,2.1316,2.1582,2.1843,2.2092,2.2328,2.2545,2.2749,2.2938,2.3118,2.3289,2.3457,2.3621,2.3786,2.3954,2.4126,2.4306,2.4499,2.4698,2.4908,2.5118,2.5317,2.5493,2.5634,2.573,2.5767,2.5733,2.562
2007/10/1,0.6484,0.7297,0.785,0.8264,0.8687,0.9228,0.9892,1.0551,1.1127,1.1545,1.1893,1.2257,1.2757,1.3365,1.4,1.4645,1.5269,1.5844,1.6395,1.6902,1.7383,1.7822,1.8235,1.8606,1.894,1.9259,1.9557,1.9851,2.015,2.0451,2.076,2.1066,2.1377,2.1661,2.1945,2.2211,2.2456,2.2694,2.2911,2.3121,2.3324,2.3514,2.37,2.3879,2.4061,2.4233,2.4413,2.4593,2.4773,2.4956,2.5147,2.5336,2.5519,2.5685,2.5829,2.5942,2.6018,2.6045,2.6019
2007/11/1,0.6207,0.7064,0.7642,0.8052,0.8476,0.8983,0.9562,1.0112,1.0557,1.0842,1.1056,1.1323,1.1737,1.2284,1.2891,1.3508,1.409,1.4639,1.516,1.5653,1.6121,1.6559,1.6968,1.735,1.7708,1.8039,1.836,1.8665,1.8963,1.9257,1.9548,1.9837,2.0125,2.0403,2.0677,2.0943,2.1202,2.1452,2.1696,2.1929,2.2156,2.2373,2.2585,2.279,2.299,2.3184,2.3373,2.3559,2.3743,2.3917,2.4088,2.425,2.44,2.4535,2.4649,2.4742,2.4806,2.4838,2.4834
2007/12/1,0.6051,0.6688,0.7103,0.7355,0.7679,0.8191,0.892,0.9659,1.0288,1.0715,1.1011,1.1304,1.1706,1.2228,1.2827,1.3442,1.4049,1.4596,1.514,1.5641,1.6121,1.6569,1.6989,1.7386,1.776,1.8106,1.8442,1.8761,1.9086,1.939,1.9705,2.0015,2.033,2.064,2.0954,2.1257,2.1555,2.1828,2.2087,2.2332,2.2567,2.2781,2.2986,2.3183,2.3374,2.3556,2.3736,2.3914,2.4092,2.4265,2.4443,2.4605,2.4762,2.4894,2.5,2.5076,2.5113,2.5105,2.5045
2008/1/1,0.4801,0.5191,0.5611,0.6064,0.6601,0.7224,0.7928,0.8589,0.9157,0.9596,0.9977,1.0379,1.0879,1.1468,1.2121,1.2783,1.345,1.4073,1.4694,1.5278,1.5832,1.6353,1.6838,1.7282,1.7694,1.807,1.8429,1.8768,1.9105,1.9424,1.9751,2.0073,2.0397,2.0716,2.1039,2.1349,2.1651,2.193,2.2194,2.2441,2.2678,2.2898,2.3109,2.3313,2.3512,2.3706,2.3901,2.4096,2.4295,2.4492,2.4696,2.4886,2.5067,2.5221,2.5344,2.5427,2.5463,2.5441,2.5355
